Website,Daily Time on Site,Daily pageviews per Visitors,% of Traffic From Search,Total Sites Linking In,Bounce Rate %
Aparat.com,707,5,43.8,66504,42.64
Varzesh3.com,717,4.55,11.4,8915,36.25
Shaparak.ir,212,1.84,0.8,179,39.44
Divar.ir,1136,11.2,28.1,455,26.7
Donya-e-eqtesad.com,249,2.15,41.2,5725,71.75
Namnak.com,215,1.57,64.6,8649,33.15
Beytoote.com,210,1.59,57.2,22073,68.53
Jobinja.ir,731,7.02,18.8,107,32.87
Ikco.ir,506,5.79,38.3,601,22.78
Bmi.ir,743,3.51,26.7,2954,38.45
Tejaratnews.com,241,1.88,38.5,1504,68.82
Zoomit.ir,332,3.16,36.4,3518,53.28
Isna.ir,411,3.28,31,16108,69.55
Enamad.ir,230,1.5,8.9,744,74.23
Zarinpal.com,308,3.62,8.9,180,49.75
Emofid.com,413,3.9,11.6,381,19.46
Tgju.org,221,1.42,30.9,944,67.02
Borna.news,134,1.34,41,2028,78.11
Farsnews.ir,549,3.86,14.7,693,49.8
Tsetmc.com,705,4.48,14.3,1932,36.39
Tci.ir,522,3.11,15.3,700,25.89
Time.ir,206,1.02,15.1,1227,84.93
Rtl-theme.com,659,6.41,23.3,1217,28.51
Mehrnews.com,454,3.18,34.6,17290,66.08
Tamin.ir,855,6.21,28.2,1851,22.76
Torob.com,359,4.61,38.4,138,50.75
Namasha.com,403,3.29,60.9,4409,49.57
Eghtesadnews.com,242,1.9,26,1689,76.6
Ninisite.com,630,4.38,55.4,2540,31.84
Filimo.com,511,6.1,15.1,2765,42.15
Nobitex.ir,1158,6.2,10.9,62,29.93
Emalls.ir,421,4.63,40.9,540,59.59
Arzdigital.com,735,4.49,25.2,98,46.83
Zhaket.com,635,5.47,26.8,5094,34.11
Yektanet.com,406,4.05,9.3,140,75.31
Eghtesadonline.com,160,1.64,51.6,2558,77.55
Soft98.ir,253,2.2,64.8,4077,50.48
Digikala.com,1249,9.11,27.2,12047,39.31
Telewebion.com,357,3.57,39.5,2928,40.71
Bankmellat.ir,834,4.34,17.8,1934,25.16
