"","Alternative","VIKOR","TOPSIS","WASPAS"
"1","Aparat.com",1,1,1
"2","Varzesh3.com",7,8,7
"3","Shaparak.ir",24,40,40
"4","Divar.ir",13,7,14
"5","Donya-e-eqtesad.com",38,12,12
"6","Namnak.com",2,6,6
"7","Beytoote.com",6,2,2
"8","Jobinja.ir",34,23,26
"9","Ikco.ir",5,17,21
"10","Bmi.ir",27,19,15
"11","Tejaratnews.com",37,29,28
"12","Zoomit.ir",29,22,17
"13","Isna.ir",12,4,5
"14","Enamad.ir",10,39,39
"15","Zarinpal.com",39,37,38
"16","Emofid.com",25,31,34
"17","Tgju.org",30,32,35
"18","Borna.news",4,26,27
"19","Farsnews.ir",40,34,33
"20","Tsetmc.com",36,30,22
"21","Tci.ir",20,33,29
"22","Time.ir",23,38,36
"23","Rtl-theme.com",9,21,20
"24","Mehrnews.com",18,3,4
"25","Tamin.ir",31,15,13
"26","Torob.com",11,25,32
"27","Namasha.com",8,10,9
"28","Eghtesadnews.com",32,35,31
"29","Ninisite.com",28,11,10
"30","Filimo.com",33,28,19
"31","Nobitex.ir",21,14,24
"32","Emalls.ir",19,24,25
"33","Arzdigital.com",26,27,30
"34","Zhaket.com",17,13,8
"35","Yektanet.com",16,36,37
"36","Eghtesadonline.com",22,16,23
"37","Soft98.ir",15,9,11
"38","Digikala.com",35,5,3
"39","Telewebion.com",14,18,16
"40","Bankmellat.ir",3,20,18
